,train,val,test
0,normal_145,normal_131,normal_021
1,normal_083,normal_081,normal_058
2,normal_110,normal_122,normal_075
3,normal_063,normal_091,normal_044
4,normal_047,normal_071,normal_064
5,normal_117,normal_052,normal_112
6,normal_033,normal_154,normal_076
7,normal_005,normal_095,normal_040
8,normal_133,normal_060,normal_067
9,normal_020,tumor_085,normal_129
10,normal_096,tumor_050,normal_087
11,normal_156,tumor_052,normal_101
12,normal_072,tumor_077,normal_048
13,normal_105,tumor_024,normal_057
14,normal_097,normal_106,tumor_065
15,normal_028,normal_014,tumor_096
16,normal_009,normal_035,tumor_104
17,normal_041,normal_085,tumor_020
18,normal_055,normal_012,tumor_071
19,normal_053,normal_152,tumor_048
20,normal_100,normal_078,tumor_005
21,normal_010,normal_018,tumor_009
22,normal_113,normal_039,tumor_055
23,normal_123,normal_103,tumor_094
24,normal_029,normal_066,normal_155
25,normal_124,tumor_063,normal_121
26,normal_065,tumor_047,tumor_057
27,normal_150,tumor_089,test_012
28,normal_080,tumor_083,test_023
29,normal_115,tumor_081,test_037
30,normal_026,test_001,test_040
31,normal_038,test_013,test_041
32,normal_136,test_014,test_047
33,normal_030,test_015,test_052
34,normal_119,test_038,test_067
35,normal_016,test_044,test_073
36,normal_151,test_054,test_076
37,normal_025,test_064,test_116
38,normal_134,test_066,test_127
39,normal_089,test_119,
40,normal_074,,
41,normal_130,,
42,normal_141,,
43,normal_159,,
44,normal_127,,
45,normal_128,,
46,normal_001,,
47,normal_050,,
48,normal_160,,
49,normal_032,,
50,normal_031,,
51,normal_043,,
52,normal_149,,
53,normal_079,,
54,normal_108,,
55,normal_099,,
56,normal_082,,
57,normal_069,,
58,normal_036,,
59,normal_126,,
60,normal_068,,
61,normal_153,,
62,normal_049,,
63,normal_015,,
64,normal_132,,
65,normal_120,,
66,normal_084,,
67,normal_024,,
68,normal_146,,
69,normal_004,,
70,normal_019,,
71,normal_158,,
72,normal_138,,
73,normal_143,,
74,normal_034,,
75,normal_118,,
76,normal_070,,
77,normal_139,,
78,normal_140,,
79,normal_116,,
80,normal_042,,
81,normal_107,,
82,normal_094,,
83,normal_051,,
84,normal_037,,
85,normal_104,,
86,normal_102,,
87,normal_008,,
88,normal_022,,
89,normal_054,,
90,normal_062,,
91,normal_003,,
92,normal_093,,
93,normal_114,,
94,normal_013,,
95,normal_017,,
96,normal_046,,
97,normal_098,,
98,normal_092,,
99,normal_111,,
100,normal_137,,
101,normal_006,,
102,normal_147,,
103,normal_007,,
104,tumor_110,,
105,tumor_103,,
106,tumor_025,,
107,tumor_007,,
108,tumor_066,,
109,tumor_030,,
110,tumor_076,,
111,tumor_079,,
112,tumor_041,,
113,tumor_058,,
114,tumor_017,,
115,tumor_097,,
116,tumor_034,,
117,tumor_002,,
118,tumor_109,,
119,tumor_064,,
120,tumor_051,,
121,tumor_101,,
122,tumor_026,,
123,tumor_045,,
124,tumor_042,,
125,tumor_059,,
126,tumor_087,,
127,tumor_039,,
128,tumor_082,,
129,tumor_013,,
130,tumor_092,,
131,tumor_032,,
132,tumor_038,,
133,tumor_111,,
134,tumor_006,,
135,tumor_068,,
136,tumor_091,,
137,tumor_090,,
138,tumor_100,,
139,tumor_095,,
140,tumor_011,,
141,tumor_098,,
142,tumor_108,,
143,tumor_018,,
144,tumor_074,,
145,tumor_010,,
146,tumor_062,,
147,tumor_106,,
148,tumor_061,,
149,tumor_078,,
150,tumor_093,,
151,tumor_053,,
152,tumor_027,,
153,tumor_012,,
154,tumor_036,,
155,tumor_008,,
156,tumor_004,,
157,tumor_022,,
158,tumor_019,,
159,tumor_001,,
160,tumor_028,,
161,tumor_075,,
162,tumor_049,,
163,tumor_023,,
164,tumor_031,,
165,tumor_033,,
166,tumor_069,,
167,tumor_084,,
168,tumor_040,,
169,tumor_086,,
170,tumor_029,,
171,tumor_044,,
172,tumor_072,,
173,tumor_056,,
174,tumor_070,,
175,tumor_037,,
176,tumor_054,,
177,tumor_021,,
178,normal_144,,
179,normal_002,,
180,normal_061,,
181,normal_073,,
182,normal_135,,
183,normal_142,,
184,normal_090,,
185,normal_023,,
186,normal_148,,
187,normal_059,,
188,normal_027,,
189,normal_109,,
190,normal_157,,
191,normal_056,,
192,normal_088,,
193,normal_045,,
194,normal_125,,
195,normal_077,,
196,normal_011,,
197,tumor_080,,
198,tumor_107,,
199,tumor_016,,
200,tumor_105,,
201,tumor_046,,
202,tumor_073,,
203,tumor_003,,
204,tumor_088,,
205,tumor_060,,
206,tumor_102,,
207,tumor_099,,
208,tumor_043,,
209,tumor_015,,
210,tumor_014,,
211,tumor_035,,
212,tumor_067,,
213,test_002,,
214,test_003,,
215,test_004,,
216,test_005,,
217,test_006,,
218,test_007,,
219,test_008,,
220,test_009,,
221,test_010,,
222,test_011,,
223,test_016,,
224,test_017,,
225,test_018,,
226,test_019,,
227,test_020,,
228,test_021,,
229,test_022,,
230,test_024,,
231,test_025,,
232,test_026,,
233,test_027,,
234,test_028,,
235,test_029,,
236,test_030,,
237,test_031,,
238,test_032,,
239,test_033,,
240,test_034,,
241,test_035,,
242,test_036,,
243,test_039,,
244,test_042,,
245,test_043,,
246,test_045,,
247,test_046,,
248,test_048,,
249,test_050,,
250,test_051,,
251,test_053,,
252,test_055,,
253,test_056,,
254,test_057,,
255,test_058,,
256,test_059,,
257,test_060,,
258,test_061,,
259,test_062,,
260,test_063,,
261,test_065,,
262,test_068,,
263,test_069,,
264,test_070,,
265,test_071,,
266,test_072,,
267,test_074,,
268,test_075,,
269,test_077,,
270,test_078,,
271,test_079,,
272,test_080,,
273,test_081,,
274,test_082,,
275,test_083,,
276,test_084,,
277,test_085,,
278,test_086,,
279,test_087,,
280,test_088,,
281,test_089,,
282,test_090,,
283,test_091,,
284,test_092,,
285,test_093,,
286,test_094,,
287,test_095,,
288,test_096,,
289,test_097,,
290,test_098,,
291,test_099,,
292,test_100,,
293,test_101,,
294,test_102,,
295,test_103,,
296,test_104,,
297,test_105,,
298,test_106,,
299,test_107,,
300,test_108,,
301,test_109,,
302,test_110,,
303,test_111,,
304,test_112,,
305,test_113,,
306,test_114,,
307,test_115,,
308,test_117,,
309,test_118,,
310,test_120,,
311,test_121,,
312,test_122,,
313,test_123,,
314,test_124,,
315,test_125,,
316,test_126,,
317,test_128,,
318,test_129,,
319,test_130,,
