,train,val,test
0,normal_145,normal_033,test_001
1,normal_083,normal_105,test_002
2,normal_110,normal_025,test_003
3,normal_021,normal_134,test_004
4,normal_058,normal_050,test_005
5,normal_063,normal_076,test_006
6,normal_047,normal_040,test_007
7,normal_117,normal_158,test_008
8,normal_075,normal_104,test_009
9,normal_005,normal_154,test_010
10,normal_131,normal_093,test_011
11,normal_044,normal_095,test_012
12,normal_133,normal_137,test_013
13,normal_020,tumor_007,test_014
14,normal_064,tumor_079,test_015
15,normal_096,tumor_027,test_016
16,normal_156,tumor_020,test_017
17,normal_072,tumor_008,test_018
18,normal_097,tumor_009,test_019
19,normal_028,tumor_033,test_020
20,normal_009,normal_090,test_021
21,normal_041,normal_018,test_022
22,normal_055,normal_103,test_023
23,normal_053,tumor_107,test_024
24,normal_100,tumor_047,test_025
25,normal_112,tumor_016,test_026
26,normal_010,tumor_088,test_027
27,normal_113,,test_028
28,normal_123,,test_029
29,normal_029,,test_030
30,normal_124,,test_031
31,normal_065,,test_032
32,normal_150,,test_033
33,normal_080,,test_034
34,normal_115,,test_035
35,normal_026,,test_036
36,normal_038,,test_037
37,normal_136,,test_038
38,normal_030,,test_039
39,normal_119,,test_040
40,normal_016,,test_041
41,normal_151,,test_042
42,normal_089,,test_043
43,normal_074,,test_044
44,normal_130,,test_045
45,normal_141,,test_046
46,normal_081,,test_047
47,normal_159,,test_048
48,normal_127,,test_050
49,normal_128,,test_051
50,normal_001,,test_052
51,normal_160,,test_053
52,normal_032,,test_054
53,normal_031,,test_055
54,normal_043,,test_056
55,normal_149,,test_057
56,normal_079,,test_058
57,normal_108,,test_059
58,normal_099,,test_060
59,normal_082,,test_061
60,normal_069,,test_062
61,normal_036,,test_063
62,normal_126,,test_064
63,normal_068,,test_065
64,normal_153,,test_066
65,normal_049,,test_067
66,normal_015,,test_068
67,normal_122,,test_069
68,normal_132,,test_070
69,normal_120,,test_071
70,normal_084,,test_072
71,normal_024,,test_073
72,normal_146,,test_074
73,normal_004,,test_075
74,normal_019,,test_076
75,normal_138,,test_077
76,normal_143,,test_078
77,normal_034,,test_079
78,normal_067,,test_080
79,normal_118,,test_081
80,normal_070,,test_082
81,normal_139,,test_083
82,normal_140,,test_084
83,normal_116,,test_085
84,normal_042,,test_086
85,normal_107,,test_087
86,normal_094,,test_088
87,normal_051,,test_089
88,normal_037,,test_090
89,normal_091,,test_091
90,normal_102,,test_092
91,normal_008,,test_093
92,normal_071,,test_094
93,normal_052,,test_095
94,normal_022,,test_096
95,normal_054,,test_097
96,normal_062,,test_098
97,normal_003,,test_099
98,normal_129,,test_100
99,normal_114,,test_101
100,normal_087,,test_102
101,normal_013,,test_103
102,normal_101,,test_104
103,normal_048,,test_105
104,normal_017,,test_106
105,normal_057,,test_107
106,normal_046,,test_108
107,normal_098,,test_109
108,normal_092,,test_110
109,normal_111,,test_111
110,normal_060,,test_112
111,normal_006,,test_113
112,normal_147,,test_114
113,normal_007,,test_115
114,tumor_110,,test_116
115,tumor_085,,test_117
116,tumor_103,,test_118
117,tumor_025,,test_119
118,tumor_066,,test_120
119,tumor_030,,test_121
120,tumor_076,,test_122
121,tumor_041,,test_123
122,tumor_058,,test_124
123,tumor_065,,test_125
124,tumor_017,,test_126
125,tumor_096,,test_127
126,tumor_097,,test_128
127,tumor_034,,test_129
128,tumor_002,,test_130
129,tumor_109,,
130,tumor_064,,
131,tumor_051,,
132,tumor_101,,
133,tumor_026,,
134,tumor_045,,
135,tumor_042,,
136,tumor_059,,
137,tumor_087,,
138,tumor_050,,
139,tumor_039,,
140,tumor_082,,
141,tumor_013,,
142,tumor_092,,
143,tumor_032,,
144,tumor_038,,
145,tumor_111,,
146,tumor_006,,
147,tumor_068,,
148,tumor_091,,
149,tumor_090,,
150,tumor_052,,
151,tumor_100,,
152,tumor_095,,
153,tumor_011,,
154,tumor_098,,
155,tumor_108,,
156,tumor_018,,
157,tumor_074,,
158,tumor_104,,
159,tumor_010,,
160,tumor_062,,
161,tumor_077,,
162,tumor_106,,
163,tumor_061,,
164,tumor_078,,
165,tumor_093,,
166,tumor_053,,
167,tumor_012,,
168,tumor_024,,
169,tumor_036,,
170,tumor_004,,
171,tumor_022,,
172,tumor_071,,
173,tumor_019,,
174,tumor_001,,
175,tumor_028,,
176,tumor_048,,
177,tumor_075,,
178,tumor_049,,
179,tumor_005,,
180,tumor_023,,
181,tumor_031,,
182,tumor_055,,
183,tumor_094,,
184,tumor_069,,
185,tumor_084,,
186,tumor_040,,
187,tumor_086,,
188,tumor_029,,
189,tumor_044,,
190,tumor_072,,
191,tumor_056,,
192,tumor_070,,
193,tumor_037,,
194,tumor_054,,
195,tumor_021,,
196,normal_144,,
197,normal_002,,
198,normal_106,,
199,normal_014,,
200,normal_035,,
201,normal_085,,
202,normal_155,,
203,normal_061,,
204,normal_012,,
205,normal_073,,
206,normal_135,,
207,normal_142,,
208,normal_023,,
209,normal_152,,
210,normal_148,,
211,normal_059,,
212,normal_078,,
213,normal_027,,
214,normal_109,,
215,normal_157,,
216,normal_056,,
217,normal_088,,
218,normal_045,,
219,normal_121,,
220,normal_125,,
221,normal_077,,
222,normal_039,,
223,normal_066,,
224,normal_011,,
225,tumor_080,,
226,tumor_063,,
227,tumor_105,,
228,tumor_046,,
229,tumor_073,,
230,tumor_003,,
231,tumor_060,,
232,tumor_102,,
233,tumor_099,,
234,tumor_089,,
235,tumor_043,,
236,tumor_015,,
237,tumor_014,,
238,tumor_083,,
239,tumor_035,,
240,tumor_067,,
241,tumor_057,,
242,tumor_081,,
