,train,val,test
0,slide_0,slide_12,slide_8
1,slide_1,slide_21,slide_13
2,slide_2,slide_31,slide_15
3,slide_3,slide_36,slide_16
4,slide_4,slide_42,slide_20
5,slide_5,slide_46,slide_43
6,slide_6,slide_49,slide_47
7,slide_7,slide_60,slide_59
8,slide_9,slide_73,slide_81
9,slide_10,slide_74,slide_103
10,slide_11,slide_85,slide_109
11,slide_14,slide_97,slide_111
12,slide_17,slide_106,slide_115
13,slide_18,slide_108,slide_127
14,slide_19,slide_120,slide_142
15,slide_22,slide_130,slide_184
16,slide_23,slide_141,slide_193
17,slide_24,slide_148,slide_203
18,slide_25,slide_149,slide_209
19,slide_26,slide_173,slide_210
20,slide_27,slide_189,slide_211
21,slide_28,slide_207,slide_224
22,slide_29,slide_208,slide_233
23,slide_30,slide_219,slide_244
24,slide_32,slide_220,slide_276
25,slide_33,slide_222,slide_284
26,slide_34,slide_262,slide_294
27,slide_35,slide_277,slide_343
28,slide_37,slide_281,slide_353
29,slide_38,slide_282,slide_361
30,slide_39,slide_283,slide_362
31,slide_40,slide_285,slide_400
32,slide_41,slide_286,slide_416
33,slide_44,slide_320,slide_419
34,slide_45,slide_322,slide_425
35,slide_48,slide_330,slide_440
36,slide_50,slide_331,slide_445
37,slide_51,slide_336,slide_446
38,slide_52,slide_348,slide_447
39,slide_53,slide_355,slide_448
40,slide_54,slide_366,slide_457
41,slide_55,slide_378,slide_458
42,slide_56,slide_379,slide_459
43,slide_57,slide_386,slide_470
44,slide_58,slide_388,slide_471
45,slide_61,slide_403,slide_479
46,slide_62,slide_423,slide_483
47,slide_63,slide_424,slide_496
48,slide_64,slide_438,
49,slide_65,slide_442,
50,slide_66,slide_453,
51,slide_67,,
52,slide_68,,
53,slide_69,,
54,slide_70,,
55,slide_71,,
56,slide_72,,
57,slide_75,,
58,slide_76,,
59,slide_77,,
60,slide_78,,
61,slide_79,,
62,slide_80,,
63,slide_82,,
64,slide_83,,
65,slide_84,,
66,slide_86,,
67,slide_87,,
68,slide_88,,
69,slide_89,,
70,slide_90,,
71,slide_91,,
72,slide_92,,
73,slide_93,,
74,slide_94,,
75,slide_95,,
76,slide_96,,
77,slide_98,,
78,slide_99,,
79,slide_100,,
80,slide_101,,
81,slide_102,,
82,slide_104,,
83,slide_105,,
84,slide_107,,
85,slide_110,,
86,slide_112,,
87,slide_113,,
88,slide_114,,
89,slide_116,,
90,slide_117,,
91,slide_118,,
92,slide_119,,
93,slide_121,,
94,slide_122,,
95,slide_123,,
96,slide_124,,
97,slide_125,,
98,slide_126,,
99,slide_128,,
100,slide_129,,
101,slide_131,,
102,slide_132,,
103,slide_133,,
104,slide_134,,
105,slide_135,,
106,slide_136,,
107,slide_137,,
108,slide_138,,
109,slide_139,,
110,slide_140,,
111,slide_143,,
112,slide_144,,
113,slide_145,,
114,slide_146,,
115,slide_147,,
116,slide_150,,
117,slide_151,,
118,slide_152,,
119,slide_153,,
120,slide_154,,
121,slide_155,,
122,slide_156,,
123,slide_157,,
124,slide_158,,
125,slide_159,,
126,slide_160,,
127,slide_161,,
128,slide_162,,
129,slide_163,,
130,slide_164,,
131,slide_165,,
132,slide_166,,
133,slide_167,,
134,slide_168,,
135,slide_169,,
136,slide_170,,
137,slide_171,,
138,slide_172,,
139,slide_174,,
140,slide_175,,
141,slide_176,,
142,slide_177,,
143,slide_178,,
144,slide_179,,
145,slide_180,,
146,slide_181,,
147,slide_182,,
148,slide_183,,
149,slide_185,,
150,slide_186,,
151,slide_187,,
152,slide_188,,
153,slide_190,,
154,slide_191,,
155,slide_192,,
156,slide_194,,
157,slide_195,,
158,slide_196,,
159,slide_197,,
160,slide_198,,
161,slide_199,,
162,slide_200,,
163,slide_201,,
164,slide_202,,
165,slide_204,,
166,slide_205,,
167,slide_206,,
168,slide_212,,
169,slide_213,,
170,slide_214,,
171,slide_215,,
172,slide_216,,
173,slide_217,,
174,slide_218,,
175,slide_221,,
176,slide_223,,
177,slide_225,,
178,slide_226,,
179,slide_227,,
180,slide_228,,
181,slide_229,,
182,slide_230,,
183,slide_231,,
184,slide_232,,
185,slide_234,,
186,slide_235,,
187,slide_236,,
188,slide_237,,
189,slide_238,,
190,slide_239,,
191,slide_240,,
192,slide_241,,
193,slide_242,,
194,slide_243,,
195,slide_245,,
196,slide_246,,
197,slide_247,,
198,slide_248,,
199,slide_249,,
200,slide_250,,
201,slide_251,,
202,slide_252,,
203,slide_253,,
204,slide_254,,
205,slide_255,,
206,slide_256,,
207,slide_257,,
208,slide_258,,
209,slide_259,,
210,slide_260,,
211,slide_261,,
212,slide_263,,
213,slide_264,,
214,slide_265,,
215,slide_266,,
216,slide_267,,
217,slide_268,,
218,slide_269,,
219,slide_270,,
220,slide_271,,
221,slide_272,,
222,slide_273,,
223,slide_274,,
224,slide_275,,
225,slide_278,,
226,slide_279,,
227,slide_280,,
228,slide_287,,
229,slide_288,,
230,slide_289,,
231,slide_290,,
232,slide_291,,
233,slide_292,,
234,slide_293,,
235,slide_295,,
236,slide_296,,
237,slide_297,,
238,slide_298,,
239,slide_299,,
240,slide_300,,
241,slide_301,,
242,slide_302,,
243,slide_303,,
244,slide_304,,
245,slide_305,,
246,slide_306,,
247,slide_307,,
248,slide_308,,
249,slide_309,,
250,slide_310,,
251,slide_311,,
252,slide_312,,
253,slide_313,,
254,slide_314,,
255,slide_315,,
256,slide_316,,
257,slide_317,,
258,slide_318,,
259,slide_319,,
260,slide_321,,
261,slide_323,,
262,slide_324,,
263,slide_325,,
264,slide_326,,
265,slide_327,,
266,slide_328,,
267,slide_329,,
268,slide_332,,
269,slide_333,,
270,slide_334,,
271,slide_335,,
272,slide_337,,
273,slide_338,,
274,slide_339,,
275,slide_340,,
276,slide_341,,
277,slide_342,,
278,slide_344,,
279,slide_345,,
280,slide_346,,
281,slide_347,,
282,slide_349,,
283,slide_350,,
284,slide_351,,
285,slide_352,,
286,slide_354,,
287,slide_356,,
288,slide_357,,
289,slide_358,,
290,slide_359,,
291,slide_360,,
292,slide_363,,
293,slide_364,,
294,slide_365,,
295,slide_367,,
296,slide_368,,
297,slide_369,,
298,slide_370,,
299,slide_371,,
300,slide_372,,
301,slide_373,,
302,slide_374,,
303,slide_375,,
304,slide_376,,
305,slide_377,,
306,slide_380,,
307,slide_381,,
308,slide_382,,
309,slide_383,,
310,slide_384,,
311,slide_385,,
312,slide_387,,
313,slide_389,,
314,slide_390,,
315,slide_391,,
316,slide_392,,
317,slide_393,,
318,slide_394,,
319,slide_395,,
320,slide_396,,
321,slide_397,,
322,slide_398,,
323,slide_399,,
324,slide_401,,
325,slide_402,,
326,slide_404,,
327,slide_405,,
328,slide_406,,
329,slide_407,,
330,slide_408,,
331,slide_409,,
332,slide_410,,
333,slide_411,,
334,slide_412,,
335,slide_413,,
336,slide_414,,
337,slide_415,,
338,slide_417,,
339,slide_418,,
340,slide_420,,
341,slide_421,,
342,slide_422,,
343,slide_426,,
344,slide_427,,
345,slide_428,,
346,slide_429,,
347,slide_430,,
348,slide_431,,
349,slide_432,,
350,slide_433,,
351,slide_434,,
352,slide_435,,
353,slide_436,,
354,slide_437,,
355,slide_439,,
356,slide_441,,
357,slide_443,,
358,slide_444,,
359,slide_449,,
360,slide_450,,
361,slide_451,,
362,slide_452,,
363,slide_454,,
364,slide_455,,
365,slide_456,,
366,slide_460,,
367,slide_461,,
368,slide_462,,
369,slide_463,,
370,slide_464,,
371,slide_465,,
372,slide_466,,
373,slide_467,,
374,slide_468,,
375,slide_469,,
376,slide_472,,
377,slide_473,,
378,slide_474,,
379,slide_475,,
380,slide_476,,
381,slide_477,,
382,slide_478,,
383,slide_480,,
384,slide_481,,
385,slide_482,,
386,slide_484,,
387,slide_485,,
388,slide_486,,
389,slide_487,,
390,slide_488,,
391,slide_489,,
392,slide_490,,
393,slide_491,,
394,slide_492,,
395,slide_493,,
396,slide_494,,
397,slide_495,,
398,slide_497,,
399,slide_498,,
400,slide_499,,
