,train,val,test
0,normal_145,normal_101,test_056
1,normal_083,test_044,normal_133
2,normal_110,normal_128,normal_029
3,normal_093,test_109,normal_018
4,normal_114,test_098,normal_037
5,normal_087,test_019,test_072
6,normal_048,normal_054,normal_079
7,normal_057,normal_131,normal_072
8,normal_046,test_119,normal_105
9,normal_020,normal_090,test_024
10,normal_098,test_107,test_088
11,normal_092,normal_030,normal_049
12,normal_111,normal_095,test_062
13,normal_137,test_047,test_063
14,normal_060,normal_013,normal_047
15,normal_006,normal_148,normal_043
16,normal_147,normal_099,normal_028
17,normal_007,test_127,normal_065
18,normal_064,normal_097,test_020
19,normal_096,normal_121,normal_017
20,normal_156,test_089,normal_126
21,normal_009,tumor_059,normal_038
22,normal_041,test_030,normal_153
23,normal_002,test_013,tumor_069
24,normal_021,test_014,test_061
25,normal_058,tumor_055,test_066
26,normal_055,tumor_041,tumor_072
27,normal_106,test_090,tumor_056
28,normal_014,tumor_044,tumor_007
29,normal_035,tumor_016,test_081
30,normal_085,test_029,test_082
31,normal_155,tumor_013,tumor_058
32,normal_061,tumor_092,tumor_042
33,normal_012,test_117,tumor_081
34,normal_073,test_110,tumor_017
35,normal_135,test_111,tumor_064
36,normal_142,tumor_103,test_033
37,normal_023,tumor_096,tumor_102
38,normal_053,test_097,tumor_006
39,normal_152,,tumor_005
40,normal_059,,
41,normal_078,,
42,normal_027,,
43,normal_109,,
44,normal_157,,
45,normal_056,,
46,normal_088,,
47,normal_100,,
48,normal_045,,
49,normal_125,,
50,normal_077,,
51,normal_039,,
52,normal_103,,
53,normal_066,,
54,normal_112,,
55,normal_010,,
56,normal_113,,
57,test_003,,
58,normal_123,,
59,test_005,,
60,test_006,,
61,test_007,,
62,test_012,,
63,test_015,,
64,test_017,,
65,test_018,,
66,test_022,,
67,test_023,,
68,test_025,,
69,normal_124,,
70,test_028,,
71,test_031,,
72,test_032,,
73,test_034,,
74,test_035,,
75,test_036,,
76,test_037,,
77,test_039,,
78,test_042,,
79,test_043,,
80,test_045,,
81,normal_150,,
82,test_050,,
83,test_053,,
84,test_054,,
85,test_055,,
86,test_057,,
87,test_058,,
88,test_059,,
89,test_060,,
90,normal_063,,
91,normal_080,,
92,test_067,,
93,normal_115,,
94,test_076,,
95,test_077,,
96,test_078,,
97,test_080,,
